Area,Type,Date,Real GDP (Legacy),Real Personal Income per Capita
"Abilene, TX",MSA,2001-12-31,4922.832,31598.9
"Abilene, TX",MSA,2002-12-31,4979.332,32574.1
"Abilene, TX",MSA,2003-12-31,5058.616,33967.2
"Abilene, TX",MSA,2004-12-31,5174.625,34336.6
"Abilene, TX",MSA,2005-12-31,5295.114,35038.4
"Abilene, TX",MSA,2006-12-31,5724.189,36061.0
"Abilene, TX",MSA,2007-12-31,5898.491,36871.8
"Abilene, TX",MSA,2008-12-31,5973.018,39507.0
"Abilene, TX",MSA,2009-12-31,5821.603,37662.7
"Abilene, TX",MSA,2010-12-31,6010.804,38596.7
"Abilene, TX",MSA,2011-12-31,6061.34,39666.8
"Abilene, TX",MSA,2012-12-31,6222.396,40343.2
"Abilene, TX",MSA,2013-12-31,6253.651,40846.7
"Abilene, TX",MSA,2014-12-31,6335.952,42690.2
"Abilene, TX",MSA,2015-12-31,6215.814,40972.9
"Abilene, TX",MSA,2016-12-31,6113.607,39847.1
"Abilene, TX",MSA,2017-12-31,6253.877,40383.9
"Abilene, TX",MSA,2018-12-31,6556.129,41922.7
"Abilene, TX",MSA,2019-12-31,6794.629,43531.7
"Abilene, TX",MSA,2020-12-31,7068.659,46060.0
"Abilene, TX",MSA,2021-12-31,7312.264,48198.4
"Abilene, TX",MSA,2022-12-31,,46067.1
"Akron, OH",MSA,2001-12-31,28478.47,40006.9
"Akron, OH",MSA,2002-12-31,29606.054,40006.2
"Akron, OH",MSA,2003-12-31,30443.223,40624.0
"Akron, OH",MSA,2004-12-31,31100.063,41111.6
"Akron, OH",MSA,2005-12-31,31921.117,40935.6
"Akron, OH",MSA,2006-12-31,31636.803,41392.9
"Akron, OH",MSA,2007-12-31,32168.886,42272.6
"Akron, OH",MSA,2008-12-31,31729.365,43017.4
"Akron, OH",MSA,2009-12-31,29800.947,41708.0
"Akron, OH",MSA,2010-12-31,30541.931,42070.7
"Akron, OH",MSA,2011-12-31,30657.593,42880.4
"Akron, OH",MSA,2012-12-31,30947.89,43475.2
"Akron, OH",MSA,2013-12-31,31395.241,43477.5
"Akron, OH",MSA,2014-12-31,32017.695,44615.3
"Akron, OH",MSA,2015-12-31,32174.517,45914.3
"Akron, OH",MSA,2016-12-31,32246.91,46256.5
"Akron, OH",MSA,2017-12-31,32750.023,47162.5
"Akron, OH",MSA,2018-12-31,33233.124,48105.9
"Akron, OH",MSA,2019-12-31,33843.587,49178.8
"Akron, OH",MSA,2020-12-31,32181.406,52210.8
"Akron, OH",MSA,2021-12-31,34041.126,54433.5
"Akron, OH",MSA,2022-12-31,,51851.6
Alabama,State,2001-12-31,156853.2,33260.1
Alabama,State,2002-12-31,160422.4,33648.6
Alabama,State,2003-12-31,165134.7,34276.9
Alabama,State,2004-12-31,176625.0,35558.5
Alabama,State,2005-12-31,184369.5,36260.5
Alabama,State,2006-12-31,187270.8,37024.8
Alabama,State,2007-12-31,189002.5,37544.6
Alabama,State,2008-12-31,186946.7,37502.5
Alabama,State,2009-12-31,180707.2,36793.7
Alabama,State,2010-12-31,184702.4,37396.6
Alabama,State,2011-12-31,187605.8,37592.7
Alabama,State,2012-12-31,189245.5,37619.9
Alabama,State,2013-12-31,191369.8,37286.0
Alabama,State,2014-12-31,189886.3,37817.8
Alabama,State,2015-12-31,191335.2,39256.9
Alabama,State,2016-12-31,194283.8,39387.5
Alabama,State,2017-12-31,196974.9,39974.9
Alabama,State,2018-12-31,200372.6,40501.0
Alabama,State,2019-12-31,203432.7,41544.2
Alabama,State,2020-12-31,199880.8,43854.2
Alabama,State,2021-12-31,209979.3,45925.5
Alabama,State,2022-12-31,,43877.0
Alaska,State,2001-12-31,40958.7,44608.4
Alaska,State,2002-12-31,42979.0,45570.3
Alaska,State,2003-12-31,42355.3,46274.7
Alaska,State,2004-12-31,44055.0,46417.8
Alaska,State,2005-12-31,45657.1,47503.2
Alaska,State,2006-12-31,49190.2,48570.8
Alaska,State,2007-12-31,51721.0,50512.7
Alaska,State,2008-12-31,51252.1,53606.4
Alaska,State,2009-12-31,56215.1,53093.1
Alaska,State,2010-12-31,54601.5,54735.3
Alaska,State,2011-12-31,55280.3,56479.9
Alaska,State,2012-12-31,58283.6,56424.1
Alaska,State,2013-12-31,55354.3,54554.2
Alaska,State,2014-12-31,54188.2,56730.9
Alaska,State,2015-12-31,54740.8,58288.1
Alaska,State,2016-12-31,54246.6,56504.8
Alaska,State,2017-12-31,54278.7,56499.0
Alaska,State,2018-12-31,53327.0,57813.1
Alaska,State,2019-12-31,53433.8,58513.4
Alaska,State,2020-12-31,50705.2,59156.1
Alaska,State,2021-12-31,50869.4,60239.8
Alaska,State,2022-12-31,,59146.8
"Albany, GA",MSA,2001-12-31,5500.407,30375.6
"Albany, GA",MSA,2002-12-31,5563.164,31325.9
"Albany, GA",MSA,2003-12-31,5592.672,31844.6
"Albany, GA",MSA,2004-12-31,5616.384,31821.2
"Albany, GA",MSA,2005-12-31,5731.306,31940.0
"Albany, GA",MSA,2006-12-31,5579.562,31640.1
"Albany, GA",MSA,2007-12-31,5425.194,32099.6
"Albany, GA",MSA,2008-12-31,5325.589,32465.4
"Albany, GA",MSA,2009-12-31,5239.598,33121.7
"Albany, GA",MSA,2010-12-31,5079.304,33494.8
"Albany, GA",MSA,2011-12-31,5183.359,34757.8
"Albany, GA",MSA,2012-12-31,5239.023,34251.0
"Albany, GA",MSA,2013-12-31,5216.222,33629.9
"Albany, GA",MSA,2014-12-31,5108.418,34091.1
"Albany, GA",MSA,2015-12-31,5072.873,34807.7
"Albany, GA",MSA,2016-12-31,5138.393,35078.2
"Albany, GA",MSA,2017-12-31,5107.716,35337.9
"Albany, GA",MSA,2018-12-31,5092.784,35433.0
"Albany, GA",MSA,2019-12-31,5225.312,36660.6
"Albany, GA",MSA,2020-12-31,5134.467,40163.1
"Albany, GA",MSA,2021-12-31,5210.366,42981.8
"Albany, GA",MSA,2022-12-31,,39548.6
"Albany-Lebanon, OR",MSA,2001-12-31,3403.158,32871.6
"Albany-Lebanon, OR",MSA,2002-12-31,3607.466,33121.8
"Albany-Lebanon, OR",MSA,2003-12-31,3462.933,32750.6
"Albany-Lebanon, OR",MSA,2004-12-31,3711.971,33881.9
"Albany-Lebanon, OR",MSA,2005-12-31,3818.544,33761.1
"Albany-Lebanon, OR",MSA,2006-12-31,4059.596,34973.1
"Albany-Lebanon, OR",MSA,2007-12-31,3780.852,34985.6
"Albany-Lebanon, OR",MSA,2008-12-31,3728.555,34668.0
"Albany-Lebanon, OR",MSA,2009-12-31,3646.45,34450.3
"Albany-Lebanon, OR",MSA,2010-12-31,3598.066,34921.4
"Albany-Lebanon, OR",MSA,2011-12-31,3629.679,34821.6
"Albany-Lebanon, OR",MSA,2012-12-31,3669.759,35187.7
"Albany-Lebanon, OR",MSA,2013-12-31,3723.626,35189.5
"Albany-Lebanon, OR",MSA,2014-12-31,3808.198,36952.4
"Albany-Lebanon, OR",MSA,2015-12-31,3978.791,38993.5
"Albany-Lebanon, OR",MSA,2016-12-31,4202.318,39671.5
"Albany-Lebanon, OR",MSA,2017-12-31,4171.906,40571.5
"Albany-Lebanon, OR",MSA,2018-12-31,4440.513,42192.8
"Albany-Lebanon, OR",MSA,2019-12-31,4494.651,42773.8
"Albany-Lebanon, OR",MSA,2020-12-31,4384.157,45511.7
"Albany-Lebanon, OR",MSA,2021-12-31,4523.198,47704.8
"Albany-Lebanon, OR",MSA,2022-12-31,,45215.5
"Albany-Schenectady-Troy, NY",MSA,2001-12-31,43695.244,44883.8
"Albany-Schenectady-Troy, NY",MSA,2002-12-31,44491.261,44389.7
"Albany-Schenectady-Troy, NY",MSA,2003-12-31,45807.029,44588.2
"Albany-Schenectady-Troy, NY",MSA,2004-12-31,46952.037,45097.9
"Albany-Schenectady-Troy, NY",MSA,2005-12-31,46941.038,44940.1
"Albany-Schenectady-Troy, NY",MSA,2006-12-31,47303.987,45742.0
"Albany-Schenectady-Troy, NY",MSA,2007-12-31,47364.703,46427.6
"Albany-Schenectady-Troy, NY",MSA,2008-12-31,48189.819,47597.0
"Albany-Schenectady-Troy, NY",MSA,2009-12-31,49013.101,47936.1
"Albany-Schenectady-Troy, NY",MSA,2010-12-31,49358.06,48773.4
"Albany-Schenectady-Troy, NY",MSA,2011-12-31,49585.384,49090.4
"Albany-Schenectady-Troy, NY",MSA,2012-12-31,49695.704,49409.0
"Albany-Schenectady-Troy, NY",MSA,2013-12-31,50248.681,49524.2
"Albany-Schenectady-Troy, NY",MSA,2014-12-31,50850.971,50207.0
"Albany-Schenectady-Troy, NY",MSA,2015-12-31,52150.163,52521.9
"Albany-Schenectady-Troy, NY",MSA,2016-12-31,53454.97,52904.1
"Albany-Schenectady-Troy, NY",MSA,2017-12-31,54668.067,54685.0
"Albany-Schenectady-Troy, NY",MSA,2018-12-31,54897.309,55032.7
"Albany-Schenectady-Troy, NY",MSA,2019-12-31,58056.308,56309.2
"Albany-Schenectady-Troy, NY",MSA,2020-12-31,56188.866,60016.8
"Albany-Schenectady-Troy, NY",MSA,2021-12-31,60212.563,61436.4
"Albany-Schenectady-Troy, NY",MSA,2022-12-31,,57723.6
"Albuquerque, NM",MSA,2001-12-31,30106.354,36747.5
"Albuquerque, NM",MSA,2002-12-31,30593.343,36896.8
"Albuquerque, NM",MSA,2003-12-31,33335.598,37182.4
"Albuquerque, NM",MSA,2004-12-31,38033.028,37782.5
"Albuquerque, NM",MSA,2005-12-31,37980.833,38055.4
"Albuquerque, NM",MSA,2006-12-31,38543.511,38991.0
"Albuquerque, NM",MSA,2007-12-31,38162.676,38992.0
"Albuquerque, NM",MSA,2008-12-31,38026.671,39339.1
"Albuquerque, NM",MSA,2009-12-31,38940.946,38801.5
"Albuquerque, NM",MSA,2010-12-31,38201.629,38138.7
"Albuquerque, NM",MSA,2011-12-31,37723.277,38489.6
"Albuquerque, NM",MSA,2012-12-31,37344.986,37995.1
"Albuquerque, NM",MSA,2013-12-31,36486.538,36886.2
"Albuquerque, NM",MSA,2014-12-31,37116.49,38388.9
"Albuquerque, NM",MSA,2015-12-31,37462.382,39716.5
"Albuquerque, NM",MSA,2016-12-31,37989.148,40748.9
"Albuquerque, NM",MSA,2017-12-31,37912.098,40801.6
"Albuquerque, NM",MSA,2018-12-31,38681.67,41332.1
"Albuquerque, NM",MSA,2019-12-31,39841.854,43073.4
"Albuquerque, NM",MSA,2020-12-31,39180.418,46499.3
"Albuquerque, NM",MSA,2021-12-31,41184.24,48597.6
"Albuquerque, NM",MSA,2022-12-31,,46494.8
"Alexandria, LA",MSA,2001-12-31,4710.211,33858.1
"Alexandria, LA",MSA,2002-12-31,4886.542,34540.6
"Alexandria, LA",MSA,2003-12-31,4949.593,34176.6
"Alexandria, LA",MSA,2004-12-31,5191.408,35532.6
"Alexandria, LA",MSA,2005-12-31,5525.09,37471.1
"Alexandria, LA",MSA,2006-12-31,5544.528,37579.8
"Alexandria, LA",MSA,2007-12-31,5273.63,38344.5
"Alexandria, LA",MSA,2008-12-31,5265.327,39354.3
"Alexandria, LA",MSA,2009-12-31,5421.214,38876.9
"Alexandria, LA",MSA,2010-12-31,5514.301,38597.7
"Alexandria, LA",MSA,2011-12-31,5553.274,39528.6
"Alexandria, LA",MSA,2012-12-31,5566.157,40476.5
"Alexandria, LA",MSA,2013-12-31,5516.802,39942.9
"Alexandria, LA",MSA,2014-12-31,5503.516,39811.3
"Alexandria, LA",MSA,2015-12-31,5394.528,40361.2
"Alexandria, LA",MSA,2016-12-31,5470.854,40567.0
"Alexandria, LA",MSA,2017-12-31,5484.882,40301.8
"Alexandria, LA",MSA,2018-12-31,5545.245,41035.7
"Alexandria, LA",MSA,2019-12-31,5527.609,42080.1
"Alexandria, LA",MSA,2020-12-31,5408.236,45615.8
"Alexandria, LA",MSA,2021-12-31,5546.945,46894.2
"Alexandria, LA",MSA,2022-12-31,,44337.8
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2001-12-31,42735.819,43030.9
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2002-12-31,42711.61,43356.8
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2003-12-31,38962.347,43398.0
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2004-12-31,36036.95,44098.0
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2005-12-31,36269.235,45160.8
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2006-12-31,35859.506,45451.4
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2007-12-31,37499.808,47413.1
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2008-12-31,37845.356,47518.8
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2009-12-31,36659.547,45934.0
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2010-12-31,37548.899,46704.2
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2011-12-31,37837.088,46883.2
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2012-12-31,38024.245,46477.9
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2013-12-31,38162.206,46277.0
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2014-12-31,38710.34,47152.4
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2015-12-31,39434.73,49005.9
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2016-12-31,40294.417,49749.7
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2017-12-31,40686.361,50135.4
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2018-12-31,41084.58,51080.0
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2019-12-31,42607.944,53071.3
"Allentown-Bethlehem-Easton, PA-NJ",MSA,2020-12-31,40407.492,56775.6
