Area,Type,Most Recent Date,Date,Employment,Labor Force,Unemployment,Unemployment Rate
"Abilene, TX",MSA,2023-11-30,2000-12-31,72348.5,75510.83333333333,3162.3333333333335,4.191666666666666
"Abilene, TX",MSA,2023-11-30,2001-12-31,72030.08333333333,75389.58333333333,3359.5,4.458333333333333
"Abilene, TX",MSA,2023-11-30,2002-12-31,73736.58333333333,77672.83333333333,3936.25,5.066666666666666
"Abilene, TX",MSA,2023-11-30,2003-12-31,75280.83333333333,79534.75,4253.916666666667,5.3500000000000005
"Abilene, TX",MSA,2023-11-30,2004-12-31,75845.25,79591.16666666667,3745.9166666666665,4.716666666666667
"Abilene, TX",MSA,2023-11-30,2005-12-31,77011.08333333333,80444.83333333333,3433.75,4.266666666666667
"Abilene, TX",MSA,2023-11-30,2006-12-31,78129.16666666667,81440.08333333333,3310.9166666666665,4.058333333333334
"Abilene, TX",MSA,2023-11-30,2007-12-31,77201.25,80080.08333333333,2878.8333333333335,3.6
"Abilene, TX",MSA,2023-11-30,2008-12-31,78906.41666666667,82061.25,3154.8333333333335,3.85
"Abilene, TX",MSA,2023-11-30,2009-12-31,78123.66666666667,82922.41666666667,4798.75,5.7749999999999995
"Abilene, TX",MSA,2023-11-30,2010-12-31,71193.75,76547.91666666667,5354.166666666667,7.0
"Abilene, TX",MSA,2023-11-30,2011-12-31,71417.0,76767.66666666667,5350.666666666667,6.9750000000000005
"Abilene, TX",MSA,2023-11-30,2012-12-31,71741.66666666667,76150.0,4408.333333333333,5.7749999999999995
"Abilene, TX",MSA,2023-11-30,2013-12-31,72101.08333333333,76253.58333333333,4152.5,5.441666666666666
"Abilene, TX",MSA,2023-11-30,2014-12-31,72609.08333333333,75948.25,3339.1666666666665,4.375
"Abilene, TX",MSA,2023-11-30,2015-12-31,71907.91666666667,74802.83333333333,2894.9166666666665,3.8499999999999996
"Abilene, TX",MSA,2023-11-30,2016-12-31,71784.66666666667,74736.16666666667,2951.5,3.9499999999999997
"Abilene, TX",MSA,2023-11-30,2017-12-31,72427.0,75215.58333333333,2788.5833333333335,3.716666666666667
"Abilene, TX",MSA,2023-11-30,2018-12-31,73831.41666666667,76364.91666666667,2533.5,3.3249999999999997
"Abilene, TX",MSA,2023-11-30,2019-12-31,75640.91666666667,77967.83333333333,2326.9166666666665,2.975
"Abilene, TX",MSA,2023-11-30,2020-12-31,73222.16666666667,77564.0,4341.833333333333,5.6499999999999995
"Abilene, TX",MSA,2023-11-30,2021-12-31,76046.5,79621.83333333333,3575.3333333333335,4.491666666666666
"Abilene, TX",MSA,2023-11-30,2022-12-31,78207.91666666667,80973.33333333333,2765.4166666666665,3.4
"Abilene, TX",MSA,2023-11-30,2023-12-31,79292.27272727272,82253.90909090909,2961.6363636363635,3.6
"Akron, OH",MSA,2023-11-30,2000-12-31,348067.5833333333,364125.9166666667,16058.333333333334,4.408333333333333
"Akron, OH",MSA,2023-11-30,2001-12-31,348300.1666666667,365188.6666666667,16888.5,4.625
"Akron, OH",MSA,2023-11-30,2002-12-31,343391.4166666667,365541.8333333333,22150.416666666668,6.066666666666666
"Akron, OH",MSA,2023-11-30,2003-12-31,347007.1666666667,370187.5,23180.333333333332,6.258333333333333
"Akron, OH",MSA,2023-11-30,2004-12-31,349584.0,372885.4166666667,23301.416666666668,6.25
"Akron, OH",MSA,2023-11-30,2005-12-31,356971.0833333333,379292.0,22320.916666666668,5.891666666666667
"Akron, OH",MSA,2023-11-30,2006-12-31,366363.3333333333,386734.9166666667,20371.583333333332,5.266666666666667
"Akron, OH",MSA,2023-11-30,2007-12-31,371420.6666666667,392589.75,21169.083333333332,5.3999999999999995
"Akron, OH",MSA,2023-11-30,2008-12-31,369816.5833333333,394539.9166666667,24723.333333333332,6.266666666666667
"Akron, OH",MSA,2023-11-30,2009-12-31,346044.5,384716.0833333333,38671.583333333336,10.058333333333334
"Akron, OH",MSA,2023-11-30,2010-12-31,333497.0,372785.5,39288.5,10.541666666666666
"Akron, OH",MSA,2023-11-30,2011-12-31,332184.6666666667,365188.5,33003.833333333336,9.033333333333333
"Akron, OH",MSA,2023-11-30,2012-12-31,333575.3333333333,360348.5833333333,26773.25,7.433333333333334
"Akron, OH",MSA,2023-11-30,2013-12-31,331409.3333333333,358685.25,27275.916666666668,7.616666666666667
"Akron, OH",MSA,2023-11-30,2014-12-31,338703.75,359908.9166666667,21205.166666666668,5.883333333333333
"Akron, OH",MSA,2023-11-30,2015-12-31,341857.0833333333,359803.9166666667,17946.833333333332,4.983333333333333
"Akron, OH",MSA,2023-11-30,2016-12-31,342492.3333333333,361026.0,18533.666666666668,5.1499999999999995
"Akron, OH",MSA,2023-11-30,2017-12-31,344519.9166666667,362759.75,18239.833333333332,5.008333333333334
"Akron, OH",MSA,2023-11-30,2018-12-31,343674.5,360358.9166666667,16684.416666666668,4.616666666666666
"Akron, OH",MSA,2023-11-30,2019-12-31,347507.9166666667,363098.9166666667,15591.0,4.291666666666667
"Akron, OH",MSA,2023-11-30,2020-12-31,324787.9166666667,353573.3333333333,28785.416666666668,8.200000000000001
"Akron, OH",MSA,2023-11-30,2021-12-31,331677.9166666667,349801.1666666667,18123.25,5.191666666666666
"Akron, OH",MSA,2023-11-30,2022-12-31,333763.25,347808.4166666667,14045.166666666666,4.041666666666667
"Akron, OH",MSA,2023-11-30,2023-12-31,337213.1818181818,350301.36363636365,13088.181818181818,3.727272727272727
Alabama,State,2023-11-30,1990-12-31,1780029.6666666667,1910487.25,130457.58333333333,6.825
Alabama,State,2023-11-30,1991-12-31,1783544.25,1924366.25,140822.0,7.325
Alabama,State,2023-11-30,1992-12-31,1814428.25,1962245.8333333333,147817.58333333334,7.5249999999999995
Alabama,State,2023-11-30,1993-12-31,1852598.6666666667,1996874.0,144275.33333333334,7.241666666666667
Alabama,State,2023-11-30,1994-12-31,1907460.6666666667,2032946.1666666667,125485.5,6.175
Alabama,State,2023-11-30,1995-12-31,1945243.5833333333,2065909.5833333333,120666.0,5.833333333333333
Alabama,State,2023-11-30,1996-12-31,1982776.6666666667,2091619.3333333333,108842.66666666667,5.208333333333333
Alabama,State,2023-11-30,1997-12-31,2027425.6666666667,2132519.5,105093.83333333333,4.933333333333333
Alabama,State,2023-11-30,1998-12-31,2047036.3333333333,2142689.25,95652.91666666667,4.458333333333333
Alabama,State,2023-11-30,1999-12-31,2048691.75,2150126.5,101434.75,4.7250000000000005
Alabama,State,2023-11-30,2000-12-31,2047897.1666666667,2147399.9166666665,99502.75,4.625
Alabama,State,2023-11-30,2001-12-31,2016673.75,2126942.5,110268.75,5.183333333333334
Alabama,State,2023-11-30,2002-12-31,1988237.0833333333,2113208.6666666665,124971.58333333333,5.925000000000001
Alabama,State,2023-11-30,2003-12-31,2001012.75,2128286.5,127273.75,5.983333333333333
Alabama,State,2023-11-30,2004-12-31,2018713.9166666667,2138181.0,119467.08333333333,5.575
Alabama,State,2023-11-30,2005-12-31,2044937.25,2140116.25,95179.0,4.458333333333333
Alabama,State,2023-11-30,2006-12-31,2083033.1666666667,2169932.6666666665,86899.5,4.0
Alabama,State,2023-11-30,2007-12-31,2092450.4166666667,2180868.5,88418.08333333333,4.041666666666667
Alabama,State,2023-11-30,2008-12-31,2049357.1666666667,2177200.75,127843.58333333333,5.883333333333333
Alabama,State,2023-11-30,2009-12-31,1939466.8333333333,2157016.1666666665,217549.33333333334,10.083333333333334
Alabama,State,2023-11-30,2010-12-31,1968756.75,2196694.4166666665,227937.66666666666,10.375
Alabama,State,2023-11-30,2011-12-31,1991026.5833333333,2201954.5,210927.91666666666,9.583333333333334
